model_size,checkpoint_step,n_words_correlated,layer_num,method,id
70m,2,3,0,mle,18.254002013395965
70m,2,3,0,pca,108.0
70m,2,3,0,pr,78.59410863755511
70m,2,3,0,2nn,15.444778927234388
70m,2,3,1,mle,16.982011491557316
70m,2,3,1,pca,110.0
70m,2,3,1,pr,80.78994750630102
70m,2,3,1,2nn,16.198119358848768
70m,2,3,2,mle,15.829578703905865
70m,2,3,2,pca,110.0
70m,2,3,2,pr,76.26373448144305
70m,2,3,2,2nn,16.25284095664237
70m,2,3,3,mle,15.370201231868329
70m,2,3,3,pca,104.0
70m,2,3,3,pr,71.41034851187307
70m,2,3,3,2nn,16.063009610704132
70m,2,3,4,mle,15.16408966808497
70m,2,3,4,pca,100.0
70m,2,3,4,pr,68.6607194467834
70m,2,3,4,2nn,15.923596178625232
70m,2,3,5,mle,15.130359704277724
70m,2,3,5,pca,96.0
70m,2,3,5,pr,66.09795150573315
70m,2,3,5,2nn,15.771856657501198
70m,2,4,0,mle,10.536870967757675
70m,2,4,0,pca,94.0
70m,2,4,0,pr,67.82817706949511
70m,2,4,0,2nn,15.426278762813787
70m,2,4,1,mle,10.475409370036754
70m,2,4,1,pca,97.0
70m,2,4,1,pr,69.58055823067427
70m,2,4,1,2nn,16.45014229234281
70m,2,4,2,mle,10.485065312572182
70m,2,4,2,pca,98.0
70m,2,4,2,pr,66.83774677175465
70m,2,4,2,2nn,15.459992322401405
70m,2,4,3,mle,10.425900351081236
70m,2,4,3,pca,92.0
70m,2,4,3,pr,63.21385808088269
70m,2,4,3,2nn,14.538069169640504
70m,2,4,4,mle,10.418043290033484
70m,2,4,4,pca,91.0
70m,2,4,4,pr,61.53524241680129
70m,2,4,4,2nn,14.218882688215194
70m,2,4,5,mle,10.400671178646691
70m,2,4,5,pca,86.0
70m,2,4,5,pr,59.27014583548867
70m,2,4,5,2nn,14.024600412776495
70m,64,1,0,mle,40.18965820231086
70m,64,1,0,pca,130.0
70m,64,1,0,pr,103.20967412532896
70m,64,1,0,2nn,41.51894174020969
70m,64,1,1,mle,42.35269461732369
70m,64,1,1,pca,129.0
70m,64,1,1,pr,104.22528278437755
70m,64,1,1,2nn,43.12664840757576
70m,64,1,2,mle,40.9696180407564
70m,64,1,2,pca,106.0
70m,64,1,2,pr,92.12626785697344
70m,64,1,2,2nn,41.041421096859
70m,64,1,3,mle,39.43547027104389
70m,64,1,3,pca,81.0
70m,64,1,3,pr,76.0536324050328
70m,64,1,3,2nn,39.51485836379284
70m,64,1,4,mle,38.46978492896647
70m,64,1,4,pca,64.0
70m,64,1,4,pr,61.88829534690749
70m,64,1,4,2nn,38.63611659875005
70m,64,1,5,mle,38.04194656229149
70m,64,1,5,pca,54.0
70m,64,1,5,pr,54.06986477178898
70m,64,1,5,2nn,38.198274882817714
70m,64,2,0,mle,27.32127021352644
70m,64,2,0,pca,118.0
70m,64,2,0,pr,87.88708835206035
70m,64,2,0,2nn,25.24946651301281
70m,64,2,1,mle,27.59984046055716
70m,64,2,1,pca,116.0
70m,64,2,1,pr,88.88408432489025
70m,64,2,1,2nn,25.604360216765503
70m,64,2,2,mle,25.63542346149034
70m,64,2,2,pca,94.0
70m,64,2,2,pr,78.44499170355782
70m,64,2,2,2nn,23.93109495031938
70m,64,2,3,mle,24.491049498250497
70m,64,2,3,pca,72.0
70m,64,2,3,pr,64.76422397389321
70m,64,2,3,2nn,22.780312567687613
70m,64,2,4,mle,23.96466087693827
70m,64,2,4,pca,59.0
70m,64,2,4,pr,52.51909472981601
70m,64,2,4,2nn,22.2447347695388
70m,64,2,5,mle,23.711152308756844
70m,64,2,5,pca,51.0
70m,64,2,5,pr,45.40906370455201
70m,64,2,5,2nn,22.04131484451373
70m,64,3,0,mle,18.21367786650587
70m,64,3,0,pca,108.0
70m,64,3,0,pr,78.27620454450002
70m,64,3,0,2nn,15.449199320453909
70m,64,3,1,mle,16.830529920644835
70m,64,3,1,pca,106.0
70m,64,3,1,pr,78.66950991405754
70m,64,3,1,2nn,16.220669757329382
70m,64,3,2,mle,15.763623868052631
70m,64,3,2,pca,85.0
70m,64,3,2,pr,68.38928010491841
70m,64,3,2,2nn,16.355247313432145
70m,64,3,3,mle,15.515693950621458
70m,64,3,3,pca,67.0
70m,64,3,3,pr,56.49806205743005
70m,64,3,3,2nn,16.12262445809803
70m,64,3,4,mle,15.622498850757676
70m,64,3,4,pca,53.0
70m,64,3,4,pr,45.80659956408591
70m,64,3,4,2nn,15.974391969017631
70m,64,3,5,mle,15.700282444157166
70m,64,3,5,pca,47.0
70m,64,3,5,pr,40.02753098855676
70m,64,3,5,2nn,15.848252699960629
70m,64,4,0,mle,10.50939888594457
70m,64,4,0,pca,95.0
70m,64,4,0,pr,67.79766069733562
70m,64,4,0,2nn,15.506375405122665
70m,64,4,1,mle,10.41391298196847
70m,64,4,1,pca,98.0
70m,64,4,1,pr,68.18861165574528
70m,64,4,1,2nn,16.27946491610692
