model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,1,25,pca,40.0
6.9b,0,1,25,pr,122.06395052335732
6.9b,0,1,25,2nn,32.1097538653539
6.9b,0,1,25,pca_ratio_099,2862.0
6.9b,0,1,26,mle,28.169152506562217
6.9b,0,1,26,pca,41.0
6.9b,0,1,26,pr,123.26565394680247
6.9b,0,1,26,2nn,31.75162781418497
6.9b,0,1,26,pca_ratio_099,2862.0
6.9b,0,1,27,mle,28.17554024396934
6.9b,0,1,27,pca,41.0
6.9b,0,1,27,pr,124.1138574143042
6.9b,0,1,27,2nn,31.463516089387845
6.9b,0,1,27,pca_ratio_099,2862.0
6.9b,0,1,28,mle,28.16073703089628
6.9b,0,1,28,pca,41.0
6.9b,0,1,28,pr,125.2090506531057
6.9b,0,1,28,2nn,31.17965808405784
6.9b,0,1,28,pca_ratio_099,2862.0
6.9b,0,1,29,mle,28.08493058679165
6.9b,0,1,29,pca,41.0
6.9b,0,1,29,pr,125.51140173287152
6.9b,0,1,29,2nn,30.820100154579336
6.9b,0,1,29,pca_ratio_099,2861.0
6.9b,0,1,30,mle,28.11599820644397
6.9b,0,1,30,pca,41.0
6.9b,0,1,30,pr,126.75649577184733
6.9b,0,1,30,2nn,30.51753783824776
6.9b,0,1,30,pca_ratio_099,2861.0
6.9b,0,1,31,mle,28.104306448659067
6.9b,0,1,31,pca,40.0
6.9b,0,1,31,pr,126.56605707130956
6.9b,0,1,31,2nn,30.09499352039333
6.9b,0,1,31,pca_ratio_099,2860.0
6.9b,0,2,0,mle,16.756172258842142
6.9b,0,2,0,pca,8.0
6.9b,0,2,0,pr,48.817579740256086
6.9b,0,2,0,2nn,26.217785578269133
6.9b,0,2,0,pca_ratio_099,1642.0
6.9b,0,2,1,mle,20.57527722902648
6.9b,0,2,1,pca,10.0
6.9b,0,2,1,pr,55.57059957445999
6.9b,0,2,1,2nn,31.68480551196223
6.9b,0,2,1,pca_ratio_099,2352.0
6.9b,0,2,2,mle,22.60040389819705
6.9b,0,2,2,pca,12.0
6.9b,0,2,2,pr,60.61228500150338
6.9b,0,2,2,2nn,34.825665413568665
6.9b,0,2,2,pca_ratio_099,2566.0
6.9b,0,2,3,mle,23.769415005635203
6.9b,0,2,3,pca,11.0
6.9b,0,2,3,pr,64.63950077222258
6.9b,0,2,3,2nn,35.934788248921
6.9b,0,2,3,pca_ratio_099,2662.0
6.9b,0,2,4,mle,24.47938055191988
6.9b,0,2,4,pca,12.0
6.9b,0,2,4,pr,68.29244724696748
6.9b,0,2,4,2nn,36.66514729052382
6.9b,0,2,4,pca_ratio_099,2715.0
6.9b,0,2,5,mle,24.860309995998325
6.9b,0,2,5,pca,14.0
6.9b,0,2,5,pr,71.7046887100611
6.9b,0,2,5,2nn,36.65216507193283
6.9b,0,2,5,pca_ratio_099,2746.0
6.9b,0,2,6,mle,25.07930060336892
6.9b,0,2,6,pca,15.0
6.9b,0,2,6,pr,75.14665032549229
6.9b,0,2,6,2nn,36.1991620186831
6.9b,0,2,6,pca_ratio_099,2768.0
6.9b,0,2,7,mle,25.2432177606108
6.9b,0,2,7,pca,15.0
6.9b,0,2,7,pr,78.15455785427275
6.9b,0,2,7,2nn,35.85942410241874
6.9b,0,2,7,pca_ratio_099,2783.0
6.9b,0,2,8,mle,25.335453029064823
6.9b,0,2,8,pca,17.0
6.9b,0,2,8,pr,80.87266787972851
6.9b,0,2,8,2nn,35.31571613627039
6.9b,0,2,8,pca_ratio_099,2793.0
6.9b,0,2,9,mle,25.36991078298497
6.9b,0,2,9,pca,19.0
6.9b,0,2,9,pr,83.33999311930701
6.9b,0,2,9,2nn,34.74617235711767
6.9b,0,2,9,pca_ratio_099,2803.0
6.9b,0,2,10,mle,25.36616839713108
6.9b,0,2,10,pca,20.0
6.9b,0,2,10,pr,86.02847299470287
6.9b,0,2,10,2nn,33.95298108118675
6.9b,0,2,10,pca_ratio_099,2808.0
6.9b,0,2,11,mle,25.328854792594555
6.9b,0,2,11,pca,21.0
6.9b,0,2,11,pr,88.17881422883107
6.9b,0,2,11,2nn,33.28499390647325
6.9b,0,2,11,pca_ratio_099,2813.0
6.9b,0,2,12,mle,25.336122160145138
6.9b,0,2,12,pca,22.0
6.9b,0,2,12,pr,90.34249686071912
6.9b,0,2,12,2nn,32.67889772053001
6.9b,0,2,12,pca_ratio_099,2818.0
6.9b,0,2,13,mle,25.29833633522041
6.9b,0,2,13,pca,23.0
