model_size,checkpoint_step,n_words_correlated,layer_num,method,id
2.8b,0,1,0,mle,22.304643698037783
2.8b,0,1,0,pca,8.0
2.8b,0,1,0,pr,41.9415758898415
2.8b,0,1,0,2nn,36.88991275242838
2.8b,0,1,1,mle,23.81639975088779
2.8b,0,1,1,pca,12.0
2.8b,0,1,1,pr,44.878712599628805
2.8b,0,1,1,2nn,38.64592375332728
2.8b,0,1,2,mle,22.857566637839795
2.8b,0,1,2,pca,15.0
2.8b,0,1,2,pr,47.22708573556403
2.8b,0,1,2,2nn,34.83974149726834
2.8b,0,1,3,mle,21.81619456372957
2.8b,0,1,3,pca,16.0
2.8b,0,1,3,pr,49.19526230652072
2.8b,0,1,3,2nn,31.19037879910616
2.8b,0,1,4,mle,21.25709721401224
2.8b,0,1,4,pca,20.0
2.8b,0,1,4,pr,51.83575610796177
2.8b,0,1,4,2nn,28.718259616924897
2.8b,0,1,5,mle,20.75590790924292
2.8b,0,1,5,pca,22.0
2.8b,0,1,5,pr,53.554651129275385
2.8b,0,1,5,2nn,26.63360844815612
2.8b,0,1,6,mle,20.49358129741388
2.8b,0,1,6,pca,26.0
2.8b,0,1,6,pr,56.15327698935218
2.8b,0,1,6,2nn,25.0837163989252
2.8b,0,1,7,mle,20.20544089242232
2.8b,0,1,7,pca,27.0
2.8b,0,1,7,pr,58.41194403076862
2.8b,0,1,7,2nn,23.76047908511493
2.8b,0,1,8,mle,20.047572589330592
2.8b,0,1,8,pca,26.0
2.8b,0,1,8,pr,59.18997219745778
2.8b,0,1,8,2nn,22.88115673051023
2.8b,0,1,9,mle,19.90851912182724
2.8b,0,1,9,pca,28.0
2.8b,0,1,9,pr,61.202521823211285
2.8b,0,1,9,2nn,21.90134041342689
2.8b,0,1,10,mle,19.76011841725365
2.8b,0,1,10,pca,29.0
2.8b,0,1,10,pr,63.14857281695517
2.8b,0,1,10,2nn,21.189848414772463
2.8b,0,1,11,mle,19.67955121414617
2.8b,0,1,11,pca,30.0
2.8b,0,1,11,pr,64.05663670419172
2.8b,0,1,11,2nn,20.50980653757291
2.8b,0,1,12,mle,19.58239653275309
2.8b,0,1,12,pca,30.0
2.8b,0,1,12,pr,64.95409665468449
2.8b,0,1,12,2nn,19.90211376042283
2.8b,0,1,13,mle,19.4603755344479
2.8b,0,1,13,pca,30.0
2.8b,0,1,13,pr,66.44561344614525
2.8b,0,1,13,2nn,19.3525595454078
2.8b,0,1,14,mle,19.36897632940045
2.8b,0,1,14,pca,31.0
2.8b,0,1,14,pr,67.77515735161003
2.8b,0,1,14,2nn,18.9068194361034
2.8b,0,1,15,mle,19.35305659526412
2.8b,0,1,15,pca,33.0
2.8b,0,1,15,pr,69.32143499942887
2.8b,0,1,15,2nn,18.51399373265393
2.8b,0,1,16,mle,19.29852457949641
2.8b,0,1,16,pca,32.0
2.8b,0,1,16,pr,70.17246249314346
2.8b,0,1,16,2nn,18.20115035175904
2.8b,0,1,17,mle,19.25346487025696
2.8b,0,1,17,pca,33.0
2.8b,0,1,17,pr,71.67133949176481
2.8b,0,1,17,2nn,17.866868061271646
2.8b,0,1,18,mle,19.267646363377764
2.8b,0,1,18,pca,36.0
2.8b,0,1,18,pr,73.54924710576093
2.8b,0,1,18,2nn,17.620773382036937
2.8b,0,1,19,mle,19.17612441967005
2.8b,0,1,19,pca,37.0
2.8b,0,1,19,pr,74.97457909652424
2.8b,0,1,19,2nn,17.332948547282598
2.8b,0,1,20,mle,19.10735628224113
2.8b,0,1,20,pca,40.0
2.8b,0,1,20,pr,76.81605235258566
2.8b,0,1,20,2nn,17.00661827753744
2.8b,0,1,21,mle,19.073054071614813
2.8b,0,1,21,pca,42.0
2.8b,0,1,21,pr,78.3432017212065
2.8b,0,1,21,2nn,16.769821656379516
2.8b,0,1,22,mle,19.07307871825482
2.8b,0,1,22,pca,43.0
2.8b,0,1,22,pr,79.50412548141036
2.8b,0,1,22,2nn,16.542711518336013
2.8b,0,1,23,mle,19.04143432481307
2.8b,0,1,23,pca,44.0
2.8b,0,1,23,pr,81.02393439923789
2.8b,0,1,23,2nn,16.349777313021285
2.8b,0,1,24,mle,19.042791781467898
2.8b,0,1,24,pca,44.0
2.8b,0,1,24,pr,82.14328533578963
2.8b,0,1,24,2nn,16.121365695162527
2.8b,0,1,25,mle,19.034610734227137
2.8b,0,1,25,pca,45.0
2.8b,0,1,25,pr,83.61891207078851
2.8b,0,1,25,2nn,15.915300188891065
2.8b,0,1,26,mle,18.99972064794408
2.8b,0,1,26,pca,47.0
2.8b,0,1,26,pr,85.22078393243359
2.8b,0,1,26,2nn,15.710798676839412
2.8b,0,1,27,mle,18.955709078279224
2.8b,0,1,27,pca,49.0
2.8b,0,1,27,pr,87.05683893158601
2.8b,0,1,27,2nn,15.542150315843465
2.8b,0,1,28,mle,18.93077527429895
2.8b,0,1,28,pca,49.0
2.8b,0,1,28,pr,87.79379701651412
2.8b,0,1,28,2nn,15.355391616695016
2.8b,0,1,29,mle,18.9415149948897
2.8b,0,1,29,pca,51.0
2.8b,0,1,29,pr,89.03027974488433
2.8b,0,1,29,2nn,15.191670710051584
2.8b,0,1,30,mle,18.94458013642401
2.8b,0,1,30,pca,53.0
2.8b,0,1,30,pr,89.83566248243515
2.8b,0,1,30,2nn,15.023208340765844
2.8b,0,1,31,mle,19.005543348408747
2.8b,0,1,31,pca,52.0
2.8b,0,1,31,pr,90.25926564399502
2.8b,0,1,31,2nn,14.882365795620638
2.8b,0,2,0,mle,17.138030761638085
2.8b,0,2,0,pca,11.0
2.8b,0,2,0,pr,42.49929390932172
2.8b,0,2,0,2nn,25.99093210383082
2.8b,0,2,1,mle,18.85673295402621
2.8b,0,2,1,pca,13.0
2.8b,0,2,1,pr,45.30974373136246
