model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1.4b,0,1,0,mle,21.46984195530155
1.4b,0,1,0,pca,10.0
1.4b,0,1,0,pr,42.85857365023158
1.4b,0,1,0,2nn,36.08502352852932
1.4b,0,1,1,mle,22.699565269960377
1.4b,0,1,1,pca,12.0
1.4b,0,1,1,pr,43.16051877569184
1.4b,0,1,1,2nn,38.14467260052947
1.4b,0,1,2,mle,21.53411640488208
1.4b,0,1,2,pca,16.0
1.4b,0,1,2,pr,45.99041738187345
1.4b,0,1,2,2nn,34.179974903028345
1.4b,0,1,3,mle,20.68236219556572
1.4b,0,1,3,pca,15.0
1.4b,0,1,3,pr,46.48280922282186
1.4b,0,1,3,2nn,31.087309451597434
1.4b,0,1,4,mle,20.141882774689893
1.4b,0,1,4,pca,16.0
1.4b,0,1,4,pr,47.923872548634414
1.4b,0,1,4,2nn,28.51455366069776
1.4b,0,1,5,mle,19.62493146538907
1.4b,0,1,5,pca,18.0
1.4b,0,1,5,pr,50.39601163716989
1.4b,0,1,5,2nn,26.593262511118983
1.4b,0,1,6,mle,19.175224410081785
1.4b,0,1,6,pca,21.0
1.4b,0,1,6,pr,52.50955622750558
1.4b,0,1,6,2nn,25.004930496280554
1.4b,0,1,7,mle,18.93686128540168
1.4b,0,1,7,pca,24.0
1.4b,0,1,7,pr,54.75772177909789
1.4b,0,1,7,2nn,23.714997503379863
1.4b,0,1,8,mle,18.76043305524155
1.4b,0,1,8,pca,24.0
1.4b,0,1,8,pr,56.62959875976246
1.4b,0,1,8,2nn,22.762822192059584
1.4b,0,1,9,mle,18.53868039514065
1.4b,0,1,9,pca,26.0
1.4b,0,1,9,pr,57.66324620383926
1.4b,0,1,9,2nn,21.853291126999363
1.4b,0,1,10,mle,18.378095259864214
1.4b,0,1,10,pca,28.0
1.4b,0,1,10,pr,59.53883254782419
1.4b,0,1,10,2nn,20.968167476451228
1.4b,0,1,11,mle,18.221897920629537
1.4b,0,1,11,pca,28.0
1.4b,0,1,11,pr,60.53689397719993
1.4b,0,1,11,2nn,20.24951643995417
1.4b,0,1,12,mle,18.086469163677165
1.4b,0,1,12,pca,28.0
1.4b,0,1,12,pr,61.74229953519075
1.4b,0,1,12,2nn,19.70771315832584
1.4b,0,1,13,mle,17.938312468567112
1.4b,0,1,13,pca,29.0
1.4b,0,1,13,pr,62.96330767480609
1.4b,0,1,13,2nn,19.17560723382725
1.4b,0,1,14,mle,17.898515419674606
1.4b,0,1,14,pca,29.0
1.4b,0,1,14,pr,63.92254362234485
1.4b,0,1,14,2nn,18.655659712658025
1.4b,0,1,15,mle,17.744002649959754
1.4b,0,1,15,pca,30.0
1.4b,0,1,15,pr,65.37987512164295
1.4b,0,1,15,2nn,18.241190317348565
