model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,0,3,11,2nn,15.234960375085581
160m,0,4,0,mle,11.48903921293106
160m,0,4,0,pca,35.0
160m,0,4,0,pr,42.043676667386755
160m,0,4,0,2nn,13.642524681893429
160m,0,4,1,mle,12.896586760151752
160m,0,4,1,pca,39.0
160m,0,4,1,pr,43.474178718227314
160m,0,4,1,2nn,18.002190725780732
160m,0,4,2,mle,13.436552235632838
160m,0,4,2,pca,35.0
160m,0,4,2,pr,42.06497250429894
160m,0,4,2,2nn,18.539776101405064
160m,0,4,3,mle,13.567824397375924
160m,0,4,3,pca,40.0
160m,0,4,3,pr,44.37701947650528
160m,0,4,3,2nn,17.63290103938728
160m,0,4,4,mle,13.54471717441217
160m,0,4,4,pca,40.0
160m,0,4,4,pr,44.114240745604015
160m,0,4,4,2nn,16.590628812170245
160m,0,4,5,mle,13.485461891062116
160m,0,4,5,pca,40.0
160m,0,4,5,pr,45.64781637671376
160m,0,4,5,2nn,15.5911543819983
160m,0,4,6,mle,13.366526052974132
160m,0,4,6,pca,43.0
160m,0,4,6,pr,47.13333825176844
160m,0,4,6,2nn,14.743101164558404
160m,0,4,7,mle,13.30142321598942
160m,0,4,7,pca,46.0
160m,0,4,7,pr,49.09112324081342
160m,0,4,7,2nn,14.199403576863679
160m,0,4,8,mle,13.236642150678547
160m,0,4,8,pca,48.0
160m,0,4,8,pr,51.077735057495175
160m,0,4,8,2nn,13.717601479690542
160m,0,4,9,mle,13.14583981203534
160m,0,4,9,pca,50.0
160m,0,4,9,pr,52.99592924456154
160m,0,4,9,2nn,13.179812090754938
160m,0,4,10,mle,13.092753696551572
160m,0,4,10,pca,50.0
160m,0,4,10,pr,53.51341648076301
160m,0,4,10,2nn,12.852896170652782
160m,0,4,11,mle,13.029719655252892
160m,0,4,11,pca,54.0
160m,0,4,11,pr,55.63038831187808
160m,0,4,11,2nn,12.528949435576921
160m,2,1,0,mle,19.538212333318608
160m,2,1,0,pca,30.0
160m,2,1,0,pr,39.55560080916172
160m,2,1,0,2nn,34.334097825938755
160m,2,1,1,mle,20.240824167957896
160m,2,1,1,pca,34.0
160m,2,1,1,pr,40.671438818649385
160m,2,1,1,2nn,35.26933343519203
160m,2,1,2,mle,19.256590678598194
160m,2,1,2,pca,31.0
160m,2,1,2,pr,39.363164506338904
160m,2,1,2,2nn,32.14242771921359
160m,2,1,3,mle,18.268109923669556
160m,2,1,3,pca,35.0
160m,2,1,3,pr,41.5793346531751
160m,2,1,3,2nn,29.036992373326182
160m,2,1,4,mle,17.39439226857412
160m,2,1,4,pca,34.0
160m,2,1,4,pr,41.29561189081394
160m,2,1,4,2nn,26.846424330365515
160m,2,1,5,mle,16.751701324482585
160m,2,1,5,pca,34.0
160m,2,1,5,pr,42.72005414461454
160m,2,1,5,2nn,24.955287288082797
160m,2,1,6,mle,16.239106629604343
160m,2,1,6,pca,38.0
160m,2,1,6,pr,44.21903806905584
160m,2,1,6,2nn,23.69534056856233
160m,2,1,7,mle,15.91888976384769
160m,2,1,7,pca,39.0
160m,2,1,7,pr,46.163417571671076
160m,2,1,7,2nn,22.536321232716162
160m,2,1,8,mle,15.643159619760137
160m,2,1,8,pca,42.0
160m,2,1,8,pr,48.046888795553144
160m,2,1,8,2nn,21.7361338765705
160m,2,1,9,mle,15.389931465023754
160m,2,1,9,pca,44.0
160m,2,1,9,pr,49.93389368261021
160m,2,1,9,2nn,20.97954279760595
160m,2,1,10,mle,15.10560781317651
160m,2,1,10,pca,44.0
160m,2,1,10,pr,50.44637959197189
160m,2,1,10,2nn,20.289560177027447
160m,2,1,11,mle,15.082993429027807
160m,2,1,11,pca,48.0
160m,2,1,11,pr,52.56268381459687
160m,2,1,11,2nn,19.701767179610016
160m,2,2,0,mle,15.763065218394392
160m,2,2,0,pca,30.0
160m,2,2,0,pr,40.05520951183962
160m,2,2,0,2nn,25.268242385690467
160m,2,2,1,mle,17.2780004080832
160m,2,2,1,pca,34.0
160m,2,2,1,pr,41.32803878454197
160m,2,2,1,2nn,28.697165699249375
160m,2,2,2,mle,17.18252208726711
160m,2,2,2,pca,31.0
160m,2,2,2,pr,39.97879907788917
160m,2,2,2,2nn,26.991453833070423
160m,2,2,3,mle,16.683511440800856
160m,2,2,3,pca,35.0
160m,2,2,3,pr,42.229290369514715
160m,2,2,3,2nn,24.792545226898923
160m,2,2,4,mle,16.254461190129533
160m,2,2,4,pca,35.0
160m,2,2,4,pr,41.937130234366656
160m,2,2,4,2nn,22.999467937961523
160m,2,2,5,mle,15.868335390299196
160m,2,2,5,pca,36.0
160m,2,2,5,pr,43.36992517421486
160m,2,2,5,2nn,21.62157640122144
160m,2,2,6,mle,15.55289230149145
160m,2,2,6,pca,39.0
160m,2,2,6,pr,44.881280670270165
160m,2,2,6,2nn,20.526783816200755
160m,2,2,7,mle,15.343754441202112
160m,2,2,7,pca,42.0
160m,2,2,7,pr,46.78879368646429
160m,2,2,7,2nn,19.68861592845971
160m,2,2,8,mle,15.139840126399928
160m,2,2,8,pca,44.0
160m,2,2,8,pr,48.64960856293766
160m,2,2,8,2nn,19.11861217735773
160m,2,2,9,mle,14.979728525459683
160m,2,2,9,pca,46.0
160m,2,2,9,pr,50.50936487280536
160m,2,2,9,2nn,18.469857657412053
160m,2,2,10,mle,14.756731188924535
160m,2,2,10,pca,46.0
160m,2,2,10,pr,51.01783432875429
160m,2,2,10,2nn,17.927396427840442
160m,2,2,11,mle,14.736206999709669
160m,2,2,11,pca,48.0
160m,2,2,11,pr,53.10772342663259
160m,2,2,11,2nn,17.49769055287031
160m,2,3,0,mle,12.648559233040302
160m,2,3,0,pca,38.0
160m,2,3,0,pr,41.90650060943318
160m,2,3,0,2nn,19.201705263654613
160m,2,3,1,mle,14.46868756511028
160m,2,3,1,pca,41.0
160m,2,3,1,pr,43.3017138849826
160m,2,3,1,2nn,22.97195191045259
160m,2,3,2,mle,14.815733766317097
160m,2,3,2,pca,38.0
160m,2,3,2,pr,42.13430878422325
160m,2,3,2,2nn,23.06832547028553
160m,2,3,3,mle,14.770728308653217
160m,2,3,3,pca,42.0
160m,2,3,3,pr,44.27332882177513
160m,2,3,3,2nn,21.34683797877884
160m,2,3,4,mle,14.582313298217798
160m,2,3,4,pca,42.0
160m,2,3,4,pr,44.140404310308
160m,2,3,4,2nn,20.082970344938637
160m,2,3,5,mle,14.307516399277551
160m,2,3,5,pca,43.0
160m,2,3,5,pr,45.6596121600581
160m,2,3,5,2nn,18.86391430928681
160m,2,3,6,mle,14.15391255853721
160m,2,3,6,pca,43.0
160m,2,3,6,pr,47.04474693403357
160m,2,3,6,2nn,17.879190244411316
160m,2,3,7,mle,14.060786402596271
160m,2,3,7,pca,47.0
160m,2,3,7,pr,49.00107486446816
160m,2,3,7,2nn,17.157005836762686
160m,2,3,8,mle,13.927966945916522
160m,2,3,8,pca,49.0
160m,2,3,8,pr,50.90042725121478
160m,2,3,8,2nn,16.49524503102331
160m,2,3,9,mle,13.796401883494967
160m,2,3,9,pca,51.0
160m,2,3,9,pr,52.72517150637101
160m,2,3,9,2nn,15.952216367859092
160m,2,3,10,mle,13.70908797937317
160m,2,3,10,pca,51.0
160m,2,3,10,pr,53.34286076216185
160m,2,3,10,2nn,15.423750845709417
160m,2,3,11,mle,13.697818432182315
160m,2,3,11,pca,55.0
160m,2,3,11,pr,55.35616482227942
160m,2,3,11,2nn,14.970747034159096
160m,2,4,0,mle,11.388951142767787
160m,2,4,0,pca,33.0
160m,2,4,0,pr,41.28590403055956
160m,2,4,0,2nn,13.470535499194684
160m,2,4,1,mle,12.892267096866709
