model_size,checkpoint_step,n_words_correlated,layer_num,method,id
70m,0,1,0,mle,17.68530369764161
70m,0,1,0,pca,42.0
70m,0,1,0,pr,39.86550829869733
70m,0,1,0,2nn,31.83908426726041
70m,0,1,1,mle,18.69732147849367
70m,0,1,1,pca,42.0
70m,0,1,1,pr,39.87247202389418
70m,0,1,1,2nn,33.47617904490755
70m,0,1,2,mle,17.881060038859562
70m,0,1,2,pca,43.0
70m,0,1,2,pr,41.36185695899392
70m,0,1,2,2nn,29.896979515304444
70m,0,1,3,mle,16.86787540648047
70m,0,1,3,pca,48.0
70m,0,1,3,pr,44.17213393640965
70m,0,1,3,2nn,27.62981069671143
70m,0,1,4,mle,16.12876549002447
70m,0,1,4,pca,45.0
70m,0,1,4,pr,43.49254380848108
70m,0,1,4,2nn,25.45626794542257
70m,0,1,5,mle,15.543230359751458
70m,0,1,5,pca,50.0
70m,0,1,5,pr,44.82957119538799
70m,0,1,5,2nn,23.839189347512047
70m,0,2,0,mle,14.68656520810834
70m,0,2,0,pca,46.0
70m,0,2,0,pr,41.76016396794256
70m,0,2,0,2nn,25.10394005808828
70m,0,2,1,mle,16.199588195721603
70m,0,2,1,pca,47.0
70m,0,2,1,pr,41.87476891435475
70m,0,2,1,2nn,27.063785533989943
70m,0,2,2,mle,16.03306250443865
70m,0,2,2,pca,48.0
70m,0,2,2,pr,43.35747038163702
70m,0,2,2,2nn,25.69594524537354
70m,0,2,3,mle,15.512303680671405
70m,0,2,3,pca,51.0
70m,0,2,3,pr,46.15988723377519
70m,0,2,3,2nn,23.72880244555818
70m,0,2,4,mle,15.085728188247767
70m,0,2,4,pca,50.0
70m,0,2,4,pr,45.52451375520736
70m,0,2,4,2nn,21.97158225793593
70m,0,2,5,mle,14.774647611653217
70m,0,2,5,pca,53.0
70m,0,2,5,pr,46.71332082471239
70m,0,2,5,2nn,20.808916466000387
70m,0,3,0,mle,12.494286554080242
70m,0,3,0,pca,47.0
70m,0,3,0,pr,41.77100194802283
70m,0,3,0,2nn,18.86624444456097
70m,0,3,1,mle,14.217018313197078
70m,0,3,1,pca,47.0
70m,0,3,1,pr,41.84091765955736
70m,0,3,1,2nn,22.16498219009516
70m,0,3,2,mle,14.517894222702074
70m,0,3,2,pca,48.0
70m,0,3,2,pr,43.3064042914712
70m,0,3,2,2nn,22.137536972403623
70m,0,3,3,mle,14.34478541881285
70m,0,3,3,pca,52.0
70m,0,3,3,pr,46.07024546993925
70m,0,3,3,2nn,20.61695561750842
70m,0,3,4,mle,14.074133231925863
70m,0,3,4,pca,50.0
70m,0,3,4,pr,45.381433830651446
70m,0,3,4,2nn,19.483685674238178
70m,0,3,5,mle,13.845511347610271
70m,0,3,5,pca,54.0
70m,0,3,5,pr,46.507318752860925
70m,0,3,5,2nn,18.542307504102418
70m,0,4,0,mle,10.434113510573397
70m,0,4,0,pca,48.0
70m,0,4,0,pr,41.86752460563025
70m,0,4,0,2nn,13.64864984246753
70m,0,4,1,mle,12.03115397716859
70m,0,4,1,pca,49.0
70m,0,4,1,pr,41.97665828349186
70m,0,4,1,2nn,18.06161876283903
70m,0,4,2,mle,12.622016865906824
70m,0,4,2,pca,50.0
70m,0,4,2,pr,43.55074966431255
70m,0,4,2,2nn,18.25822209909845
70m,0,4,3,mle,12.644438267872916
70m,0,4,3,pca,53.0
70m,0,4,3,pr,46.38591898983945
70m,0,4,3,2nn,17.492016048481982
70m,0,4,4,mle,12.64079669105021
70m,0,4,4,pca,52.0
70m,0,4,4,pr,45.79600766247778
70m,0,4,4,2nn,16.710722935523478
