model_size,checkpoint_step,n_words_correlated,layer_num,method,id
1b,0,3,4,mle,13.384403329202673
1b,0,3,4,pca,167.0
1b,0,3,4,pr,114.98487733567623
1b,0,3,4,2nn,16.316418559789756
1b,0,3,5,mle,13.24267767740661
1b,0,3,5,pca,166.0
1b,0,3,5,pr,112.18735573231567
1b,0,3,5,2nn,16.34489618712533
1b,0,3,6,mle,13.214052330525638
1b,0,3,6,pca,166.0
1b,0,3,6,pr,109.89080488574764
1b,0,3,6,2nn,16.448150637138756
1b,0,3,7,mle,13.172516920252997
1b,0,3,7,pca,162.0
1b,0,3,7,pr,107.56121229375587
1b,0,3,7,2nn,16.432369880502286
1b,0,3,8,mle,13.144243571400022
1b,0,3,8,pca,160.0
1b,0,3,8,pr,105.88921616780956
1b,0,3,8,2nn,16.39912851673699
1b,0,3,9,mle,13.139023590854713
1b,0,3,9,pca,159.0
1b,0,3,9,pr,104.37603698662952
1b,0,3,9,2nn,16.330187227129425
1b,0,3,10,mle,13.144262006471582
1b,0,3,10,pca,157.0
1b,0,3,10,pr,102.69525629217313
1b,0,3,10,2nn,16.302401381102264
1b,0,3,11,mle,13.118459199791113
1b,0,3,11,pca,154.0
1b,0,3,11,pr,101.55321684557553
1b,0,3,11,2nn,16.262452026264597
1b,0,3,12,mle,13.102383897145453
1b,0,3,12,pca,152.0
1b,0,3,12,pr,100.6618631486181
1b,0,3,12,2nn,16.20581671096824
1b,0,3,13,mle,13.096117351598176
1b,0,3,13,pca,147.0
1b,0,3,13,pr,99.18860213225659
1b,0,3,13,2nn,16.151005476331502
1b,0,3,14,mle,13.090770331939158
1b,0,3,14,pca,146.0
1b,0,3,14,pr,98.02486973861036
1b,0,3,14,2nn,16.173050293048863
1b,0,3,15,mle,13.084315862237526
1b,0,3,15,pca,145.0
1b,0,3,15,pr,96.9969567418959
1b,0,3,15,2nn,16.15789811944224
1b,0,4,0,mle,10.013247461023063
1b,0,4,0,pca,127.0
1b,0,4,0,pr,94.150109486903
1b,0,4,0,2nn,16.226496161056804
1b,0,4,1,mle,9.53528892944366
1b,0,4,1,pca,139.0
1b,0,4,1,pr,99.21994095549816
1b,0,4,1,2nn,19.025205626135538
1b,0,4,2,mle,9.6189215116956
1b,0,4,2,pca,139.0
1b,0,4,2,pr,98.3112952372997
1b,0,4,2,2nn,17.44718936951092
1b,0,4,3,mle,9.647010110624343
1b,0,4,3,pca,142.0
1b,0,4,3,pr,96.33115566777425
1b,0,4,3,2nn,17.01743933731898
1b,0,4,4,mle,9.645381397589013
1b,0,4,4,pca,141.0
1b,0,4,4,pr,94.23326612877949
1b,0,4,4,2nn,16.798220873458995
1b,0,4,5,mle,9.622671552203245
1b,0,4,5,pca,139.0
1b,0,4,5,pr,92.32883880697881
1b,0,4,5,2nn,16.516405060246345
1b,0,4,6,mle,9.639672681754988
1b,0,4,6,pca,139.0
1b,0,4,6,pr,90.67064974612184
1b,0,4,6,2nn,16.2570254272995
1b,0,4,7,mle,9.645907107776042
1b,0,4,7,pca,137.0
1b,0,4,7,pr,88.99880009076485
1b,0,4,7,2nn,16.022386611562652
1b,0,4,8,mle,9.642768002473947
1b,0,4,8,pca,135.0
1b,0,4,8,pr,87.82623685181159
1b,0,4,8,2nn,15.829438935122687
1b,0,4,9,mle,9.649179319569548
1b,0,4,9,pca,133.0
1b,0,4,9,pr,86.69936449040233
1b,0,4,9,2nn,15.586876378105504
1b,0,4,10,mle,9.661378468406937
1b,0,4,10,pca,130.0
1b,0,4,10,pr,85.41987997525649
1b,0,4,10,2nn,15.494217373747444
1b,0,4,11,mle,9.655091884543724
1b,0,4,11,pca,127.0
1b,0,4,11,pr,84.60931206941532
1b,0,4,11,2nn,15.326069891475925
1b,0,4,12,mle,9.652242283893779
1b,0,4,12,pca,127.0
1b,0,4,12,pr,84.0795298797696
1b,0,4,12,2nn,15.245008385018842
1b,0,4,13,mle,9.658399403088918
1b,0,4,13,pca,124.0
1b,0,4,13,pr,83.10488423061277
