model_size,checkpoint_step,n_words_correlated,layer_num,method,id
160m,0,4,0,mle,10.474005599665231
160m,0,4,0,pca,111.0
160m,0,4,0,pr,79.27817240996691
160m,0,4,0,2nn,16.18727830183997
160m,0,4,1,mle,10.145042297748855
160m,0,4,1,pca,111.0
160m,0,4,1,pr,80.91852902575512
160m,0,4,1,2nn,18.131641759170545
160m,0,4,2,mle,10.297323861526664
160m,0,4,2,pca,107.0
160m,0,4,2,pr,77.12779846310984
160m,0,4,2,2nn,17.057698013514212
160m,0,4,3,mle,10.318129809054435
160m,0,4,3,pca,107.0
160m,0,4,3,pr,74.56747783984748
160m,0,4,3,2nn,16.657907523653975
160m,0,4,4,mle,10.367935137680703
160m,0,4,4,pca,104.0
160m,0,4,4,pr,71.75311699193166
160m,0,4,4,2nn,16.320002762327807
160m,0,4,5,mle,10.381071117537742
160m,0,4,5,pca,103.0
160m,0,4,5,pr,69.12310399103703
160m,0,4,5,2nn,16.172159291191512
160m,0,4,6,mle,10.365935902921128
160m,0,4,6,pca,100.0
160m,0,4,6,pr,67.59277523676987
160m,0,4,6,2nn,15.895050262228704
160m,0,4,7,mle,10.363164232475064
160m,0,4,7,pca,98.0
160m,0,4,7,pr,66.0799068104065
160m,0,4,7,2nn,15.593640523902238
160m,0,4,8,mle,10.391511134013529
160m,0,4,8,pca,95.0
160m,0,4,8,pr,65.00916227059123
160m,0,4,8,2nn,15.59019024106045
160m,0,4,9,mle,10.38445924780306
160m,0,4,9,pca,94.0
160m,0,4,9,pr,63.68697827280287
160m,0,4,9,2nn,15.44910871557134
160m,0,4,10,mle,10.401627042300722
160m,0,4,10,pca,90.0
160m,0,4,10,pr,62.68526548546292
160m,0,4,10,2nn,15.303743821200474
160m,0,4,11,mle,10.412136187399664
160m,0,4,11,pca,88.0
160m,0,4,11,pr,61.7683023270473
160m,0,4,11,2nn,15.1072940748178
160m,2,1,0,mle,42.362209520924566
160m,2,1,0,pca,166.0
160m,2,1,0,pr,133.0221288506989
160m,2,1,0,2nn,42.91748353029427
160m,2,1,1,mle,44.129961425841266
160m,2,1,1,pca,164.0
160m,2,1,1,pr,137.98594205442598
160m,2,1,1,2nn,43.884173180761735
160m,2,1,2,mle,42.62143660419602
160m,2,1,2,pca,155.0
160m,2,1,2,pr,130.73091864008137
160m,2,1,2,2nn,42.425452098877145
160m,2,1,3,mle,40.57806878510583
160m,2,1,3,pca,152.0
160m,2,1,3,pr,125.05873239428023
160m,2,1,3,2nn,39.94108854367457
160m,2,1,4,mle,38.84550067962919
160m,2,1,4,pca,146.0
160m,2,1,4,pr,119.69071668091095
