model_size,checkpoint_step,n_words_correlated,layer_num,method,id
6.9b,0,1,0,mle,40.6014793753128
6.9b,0,1,0,pca,337.0
6.9b,0,1,0,pr,252.97317202187207
6.9b,0,1,0,2nn,39.43896163131696
6.9b,0,1,0,pca_ratio_099,1335.0
6.9b,0,1,1,mle,48.23892315290568
6.9b,0,1,1,pca,372.0
6.9b,0,1,1,pr,314.92084873584804
6.9b,0,1,1,2nn,47.14304867181864
6.9b,0,1,1,pca_ratio_099,2402.0
6.9b,0,1,2,mle,51.97086769082602
6.9b,0,1,2,pca,384.0
6.9b,0,1,2,pr,343.38916300110924
6.9b,0,1,2,2nn,50.7877384455222
6.9b,0,1,2,pca_ratio_099,2667.0
6.9b,0,1,3,mle,54.05274819115768
6.9b,0,1,3,pca,385.0
6.9b,0,1,3,pr,360.8489223730336
6.9b,0,1,3,2nn,52.48502965114357
6.9b,0,1,3,pca_ratio_099,2770.0
6.9b,0,1,4,mle,55.32311173938306
6.9b,0,1,4,pca,393.0
6.9b,0,1,4,pr,371.25325070503226
6.9b,0,1,4,2nn,53.05997696301513
6.9b,0,1,4,pca_ratio_099,2801.0
6.9b,0,1,5,mle,55.98592544914874
6.9b,0,1,5,pca,394.0
6.9b,0,1,5,pr,378.6214487209681
6.9b,0,1,5,2nn,53.57457251561639
6.9b,0,1,5,pca_ratio_099,2821.0
6.9b,0,1,6,mle,56.43719223479211
6.9b,0,1,6,pca,398.0
6.9b,0,1,6,pr,384.1022234895598
6.9b,0,1,6,2nn,54.00069645469164
6.9b,0,1,6,pca_ratio_099,2828.0
6.9b,0,1,7,mle,56.51961603759447
6.9b,0,1,7,pca,400.0
6.9b,0,1,7,pr,387.81949394049946
6.9b,0,1,7,2nn,54.09287219932576
6.9b,0,1,7,pca_ratio_099,2833.0
6.9b,0,1,8,mle,56.583207346351145
6.9b,0,1,8,pca,399.0
6.9b,0,1,8,pr,390.00773717713497
6.9b,0,1,8,2nn,54.15137402772631
6.9b,0,1,8,pca_ratio_099,2834.0
6.9b,0,1,9,mle,56.42408732417929
6.9b,0,1,9,pca,401.0
6.9b,0,1,9,pr,391.6260921871542
6.9b,0,1,9,2nn,54.14838194884183
6.9b,0,1,9,pca_ratio_099,2833.0
6.9b,0,1,10,mle,56.35885981413659
6.9b,0,1,10,pca,398.0
6.9b,0,1,10,pr,392.2175292743552
6.9b,0,1,10,2nn,54.35619341821374
6.9b,0,1,10,pca_ratio_099,2827.0
6.9b,0,1,11,mle,56.17856770775982
6.9b,0,1,11,pca,394.0
6.9b,0,1,11,pr,391.80106844849024
6.9b,0,1,11,2nn,54.43386642241712
6.9b,0,1,11,pca_ratio_099,2821.0
6.9b,0,1,12,mle,56.06341584781526
6.9b,0,1,12,pca,396.0
6.9b,0,1,12,pr,392.7904413729031
6.9b,0,1,12,2nn,54.06457102808886
6.9b,0,1,12,pca_ratio_099,2819.0
6.9b,0,1,13,mle,55.80490614487482
6.9b,0,1,13,pca,396.0
6.9b,0,1,13,pr,393.1684463839717
6.9b,0,1,13,2nn,53.75653101475464
6.9b,0,1,13,pca_ratio_099,2816.0
6.9b,0,1,14,mle,55.587825686622274
6.9b,0,1,14,pca,394.0
6.9b,0,1,14,pr,392.8982637048388
6.9b,0,1,14,2nn,53.42946689372735
6.9b,0,1,14,pca_ratio_099,2810.0
6.9b,0,1,15,mle,55.46087324173416
6.9b,0,1,15,pca,395.0
6.9b,0,1,15,pr,392.884197370344
6.9b,0,1,15,2nn,53.3597088789586
6.9b,0,1,15,pca_ratio_099,2807.0
6.9b,0,1,16,mle,55.03410597862367
6.9b,0,1,16,pca,394.0
6.9b,0,1,16,pr,392.5711537582534
6.9b,0,1,16,2nn,52.992637513187965
6.9b,0,1,16,pca_ratio_099,2803.0
6.9b,0,1,17,mle,54.94086694808608
6.9b,0,1,17,pca,396.0
6.9b,0,1,17,pr,392.0476405720861
6.9b,0,1,17,2nn,52.88412701887426
6.9b,0,1,17,pca_ratio_099,2799.0
6.9b,0,1,18,mle,54.84772167448512
6.9b,0,1,18,pca,396.0
