,index,model_name,checkpoint_step,n_words_correlated,method,layer_num,id
36,36,EleutherAI/pythia-70m-deduped,512,3,mle,0,11.141226903020236
37,37,EleutherAI/pythia-70m-deduped,512,3,mle,1,13.566149209851199
38,38,EleutherAI/pythia-70m-deduped,512,3,mle,2,13.227530364933001
39,39,EleutherAI/pythia-70m-deduped,512,3,mle,3,13.211680948853385
40,40,EleutherAI/pythia-70m-deduped,512,3,mle,4,13.098767403159785
41,41,EleutherAI/pythia-70m-deduped,512,3,mle,5,13.416846933615401
42,42,EleutherAI/pythia-70m-deduped,512,4,mle,0,8.629763023739892
43,43,EleutherAI/pythia-70m-deduped,512,4,mle,1,11.12492699071682
44,44,EleutherAI/pythia-70m-deduped,512,4,mle,2,10.298695276145965
45,45,EleutherAI/pythia-70m-deduped,512,4,mle,3,10.136328141655753
46,46,EleutherAI/pythia-70m-deduped,512,4,mle,4,10.093498458153011
47,47,EleutherAI/pythia-70m-deduped,512,4,mle,5,9.793400145581028
48,48,EleutherAI/pythia-70m-deduped,4000,1,mle,0,15.637022185400602
49,49,EleutherAI/pythia-70m-deduped,4000,1,mle,1,17.301577158261946
50,50,EleutherAI/pythia-70m-deduped,4000,1,mle,2,16.356822771290194
51,51,EleutherAI/pythia-70m-deduped,4000,1,mle,3,18.211346688182125
52,52,EleutherAI/pythia-70m-deduped,4000,1,mle,4,25.698068406719297
53,53,EleutherAI/pythia-70m-deduped,4000,1,mle,5,27.396540857718183
54,54,EleutherAI/pythia-70m-deduped,4000,2,mle,0,11.953452419246652
55,55,EleutherAI/pythia-70m-deduped,4000,2,mle,1,12.872928226931144
56,56,EleutherAI/pythia-70m-deduped,4000,2,mle,2,13.69723171077019
57,57,EleutherAI/pythia-70m-deduped,4000,2,mle,3,14.83319445315095
58,58,EleutherAI/pythia-70m-deduped,4000,2,mle,4,17.266259854201362
59,59,EleutherAI/pythia-70m-deduped,4000,2,mle,5,17.53718180755815
60,60,EleutherAI/pythia-70m-deduped,4000,3,mle,0,9.150518377464156
61,61,EleutherAI/pythia-70m-deduped,4000,3,mle,1,10.463357500800393
62,62,EleutherAI/pythia-70m-deduped,4000,3,mle,2,11.731918986641752
63,63,EleutherAI/pythia-70m-deduped,4000,3,mle,3,12.528625055649401
64,64,EleutherAI/pythia-70m-deduped,4000,3,mle,4,11.562185394256035
65,65,EleutherAI/pythia-70m-deduped,4000,3,mle,5,11.876503380761624
66,66,EleutherAI/pythia-70m-deduped,4000,4,mle,0,5.966405568090257
67,67,EleutherAI/pythia-70m-deduped,4000,4,mle,1,6.3607463634791745
68,68,EleutherAI/pythia-70m-deduped,4000,4,mle,2,7.810277010292172
69,69,EleutherAI/pythia-70m-deduped,4000,4,mle,3,8.310780487929781
70,70,EleutherAI/pythia-70m-deduped,4000,4,mle,4,8.483858117680516
71,71,EleutherAI/pythia-70m-deduped,4000,4,mle,5,9.745081953398463
72,72,EleutherAI/pythia-70m-deduped,16000,1,mle,0,11.10946655563071
73,73,EleutherAI/pythia-70m-deduped,16000,1,mle,1,12.919600197858792
74,74,EleutherAI/pythia-70m-deduped,16000,1,mle,2,12.502218361098983
75,75,EleutherAI/pythia-70m-deduped,16000,1,mle,3,13.773651778588256
76,76,EleutherAI/pythia-70m-deduped,16000,1,mle,4,21.630604510078037
77,77,EleutherAI/pythia-70m-deduped,16000,1,mle,5,24.820113571251145
78,78,EleutherAI/pythia-70m-deduped,16000,2,mle,0,7.8975234724382135
79,79,EleutherAI/pythia-70m-deduped,16000,2,mle,1,9.332511875403528
80,80,EleutherAI/pythia-70m-deduped,16000,2,mle,2,10.97293944493674
81,81,EleutherAI/pythia-70m-deduped,16000,2,mle,3,11.935053476573096
82,82,EleutherAI/pythia-70m-deduped,16000,2,mle,4,16.326928662794572
83,83,EleutherAI/pythia-70m-deduped,16000,2,mle,5,15.558593762602229
84,84,EleutherAI/pythia-70m-deduped,16000,3,mle,0,7.116191784766406
85,85,EleutherAI/pythia-70m-deduped,16000,3,mle,1,8.350366885740616
86,86,EleutherAI/pythia-70m-deduped,16000,3,mle,2,10.420831589217405
87,87,EleutherAI/pythia-70m-deduped,16000,3,mle,3,11.347465994685946
88,88,EleutherAI/pythia-70m-deduped,16000,3,mle,4,14.341098647794526
89,89,EleutherAI/pythia-70m-deduped,16000,3,mle,5,14.16441349992827
90,90,EleutherAI/pythia-70m-deduped,16000,4,mle,0,4.054417480590226
91,91,EleutherAI/pythia-70m-deduped,16000,4,mle,1,4.320539309669066
92,92,EleutherAI/pythia-70m-deduped,16000,4,mle,2,7.4968242923339625
93,93,EleutherAI/pythia-70m-deduped,16000,4,mle,3,8.226834651088405
94,94,EleutherAI/pythia-70m-deduped,16000,4,mle,4,9.956708632901762
95,95,EleutherAI/pythia-70m-deduped,16000,4,mle,5,9.515221378089539
96,96,EleutherAI/pythia-70m-deduped,32000,1,mle,0,7.988874443004019
97,97,EleutherAI/pythia-70m-deduped,32000,1,mle,1,9.541942752134709
98,98,EleutherAI/pythia-70m-deduped,32000,1,mle,2,9.67008748907084
99,99,EleutherAI/pythia-70m-deduped,32000,1,mle,3,10.669160149281192
100,100,EleutherAI/pythia-70m-deduped,32000,1,mle,4,20.50886634378238
101,101,EleutherAI/pythia-70m-deduped,32000,1,mle,5,24.059269522533974
102,102,EleutherAI/pythia-70m-deduped,32000,2,mle,0,5.825750204286476
103,103,EleutherAI/pythia-70m-deduped,32000,2,mle,1,7.091006597983985
104,104,EleutherAI/pythia-70m-deduped,32000,2,mle,2,9.072725455757013
105,105,EleutherAI/pythia-70m-deduped,32000,2,mle,3,9.962082257294904
106,106,EleutherAI/pythia-70m-deduped,32000,2,mle,4,16.60690687198165
107,107,EleutherAI/pythia-70m-deduped,32000,2,mle,5,16.55185664661457
108,108,EleutherAI/pythia-70m-deduped,32000,3,mle,0,5.4188186637135
109,109,EleutherAI/pythia-70m-deduped,32000,3,mle,1,6.475765427891163
110,110,EleutherAI/pythia-70m-deduped,32000,3,mle,2,8.967815637566954
111,111,EleutherAI/pythia-70m-deduped,32000,3,mle,3,9.786288732903722
112,112,EleutherAI/pythia-70m-deduped,32000,3,mle,4,13.84257186931235
113,113,EleutherAI/pythia-70m-deduped,32000,3,mle,5,13.147768285583934
114,114,EleutherAI/pythia-70m-deduped,32000,4,mle,0,3.088634843294645
115,115,EleutherAI/pythia-70m-deduped,32000,4,mle,1,3.6048376782680487
116,116,EleutherAI/pythia-70m-deduped,32000,4,mle,2,6.563098381659341
117,117,EleutherAI/pythia-70m-deduped,32000,4,mle,3,7.223958330136634
118,118,EleutherAI/pythia-70m-deduped,32000,4,mle,4,9.585676016643854
119,119,EleutherAI/pythia-70m-deduped,32000,4,mle,5,8.507975737788113
120,120,EleutherAI/pythia-70m-deduped,64000,1,mle,0,9.587382774236307
121,121,EleutherAI/pythia-70m-deduped,64000,1,mle,1,12.142822206615113
122,122,EleutherAI/pythia-70m-deduped,64000,1,mle,2,9.939551035702546
123,123,EleutherAI/pythia-70m-deduped,64000,1,mle,3,10.333021310255303
124,124,EleutherAI/pythia-70m-deduped,64000,1,mle,4,20.26662440330285
125,125,EleutherAI/pythia-70m-deduped,64000,1,mle,5,23.71629049603441
126,126,EleutherAI/pythia-70m-deduped,64000,2,mle,0,6.538154721535095
127,127,EleutherAI/pythia-70m-deduped,64000,2,mle,1,8.792274456341332
128,128,EleutherAI/pythia-70m-deduped,64000,2,mle,2,8.994682503820794
129,129,EleutherAI/pythia-70m-deduped,64000,2,mle,3,9.42571276491877
130,130,EleutherAI/pythia-70m-deduped,64000,2,mle,4,16.392474579394023
131,131,EleutherAI/pythia-70m-deduped,64000,2,mle,5,16.81174776541491
132,132,EleutherAI/pythia-70m-deduped,64000,3,mle,0,6.230221004934904
133,133,EleutherAI/pythia-70m-deduped,64000,3,mle,1,8.280440293708365
134,134,EleutherAI/pythia-70m-deduped,64000,3,mle,2,8.9888651190631
135,135,EleutherAI/pythia-70m-deduped,64000,3,mle,3,9.4043208196639
136,136,EleutherAI/pythia-70m-deduped,64000,3,mle,4,14.340706681841484
137,137,EleutherAI/pythia-70m-deduped,64000,3,mle,5,14.20510197134083
138,138,EleutherAI/pythia-70m-deduped,64000,4,mle,0,3.354268856400511
139,139,EleutherAI/pythia-70m-deduped,64000,4,mle,1,4.699885016442971
140,140,EleutherAI/pythia-70m-deduped,64000,4,mle,2,7.0253655430449555
141,141,EleutherAI/pythia-70m-deduped,64000,4,mle,3,7.359892852236699
142,142,EleutherAI/pythia-70m-deduped,64000,4,mle,4,10.282519502493132
143,143,EleutherAI/pythia-70m-deduped,64000,4,mle,5,9.108666391692495
144,144,EleutherAI/pythia-70m-deduped,100000,1,mle,0,9.938648538931822
145,145,EleutherAI/pythia-70m-deduped,100000,1,mle,1,11.876037769386693
146,146,EleutherAI/pythia-70m-deduped,100000,1,mle,2,10.965836779218384
147,147,EleutherAI/pythia-70m-deduped,100000,1,mle,3,11.976606437303417
148,148,EleutherAI/pythia-70m-deduped,100000,1,mle,4,17.46472385468248
149,149,EleutherAI/pythia-70m-deduped,100000,1,mle,5,22.11897890582503
150,150,EleutherAI/pythia-70m-deduped,100000,2,mle,0,6.950306504193812
151,151,EleutherAI/pythia-70m-deduped,100000,2,mle,1,9.429570841179066
152,152,EleutherAI/pythia-70m-deduped,100000,2,mle,2,10.226686166320262
153,153,EleutherAI/pythia-70m-deduped,100000,2,mle,3,11.334733864121684
154,154,EleutherAI/pythia-70m-deduped,100000,2,mle,4,14.794494950609913
155,155,EleutherAI/pythia-70m-deduped,100000,2,mle,5,16.78949160849114
156,156,EleutherAI/pythia-70m-deduped,100000,3,mle,0,6.485397354196665
157,157,EleutherAI/pythia-70m-deduped,100000,3,mle,1,8.750079208438642
158,158,EleutherAI/pythia-70m-deduped,100000,3,mle,2,9.8995514513546
159,159,EleutherAI/pythia-70m-deduped,100000,3,mle,3,10.840229655221178
160,160,EleutherAI/pythia-70m-deduped,100000,3,mle,4,12.629567644101826
161,161,EleutherAI/pythia-70m-deduped,100000,3,mle,5,13.164318155200991
162,162,EleutherAI/pythia-70m-deduped,100000,4,mle,0,3.28772389157834
163,163,EleutherAI/pythia-70m-deduped,100000,4,mle,1,4.560349781378417
164,164,EleutherAI/pythia-70m-deduped,100000,4,mle,2,7.406562771984015
165,165,EleutherAI/pythia-70m-deduped,100000,4,mle,3,8.263771086290916
166,166,EleutherAI/pythia-70m-deduped,100000,4,mle,4,10.531586093074319
167,167,EleutherAI/pythia-70m-deduped,100000,4,mle,5,9.597410828958054
168,168,EleutherAI/pythia-70m-deduped,143000,1,mle,0,10.610843005935578
169,169,EleutherAI/pythia-70m-deduped,143000,1,mle,1,12.781271148192234
170,170,EleutherAI/pythia-70m-deduped,143000,1,mle,2,11.549742947549753
171,171,EleutherAI/pythia-70m-deduped,143000,1,mle,3,12.963022130551366
172,172,EleutherAI/pythia-70m-deduped,143000,1,mle,4,16.203013528177543
173,173,EleutherAI/pythia-70m-deduped,143000,1,mle,5,20.393404683020183
174,174,EleutherAI/pythia-70m-deduped,143000,2,mle,0,7.181410241844527
175,175,EleutherAI/pythia-70m-deduped,143000,2,mle,1,9.979143962090523
176,176,EleutherAI/pythia-70m-deduped,143000,2,mle,2,9.978794855629031
177,177,EleutherAI/pythia-70m-deduped,143000,2,mle,3,11.349503418232965
178,178,EleutherAI/pythia-70m-deduped,143000,2,mle,4,13.38341403480458
179,179,EleutherAI/pythia-70m-deduped,143000,2,mle,5,15.252870656917706
180,180,EleutherAI/pythia-70m-deduped,143000,3,mle,0,6.708226033562231
181,181,EleutherAI/pythia-70m-deduped,143000,3,mle,1,9.378484223190164
182,182,EleutherAI/pythia-70m-deduped,143000,3,mle,2,9.98887384361861
183,183,EleutherAI/pythia-70m-deduped,143000,3,mle,3,11.305345026526789
184,184,EleutherAI/pythia-70m-deduped,143000,3,mle,4,9.992069364743077
185,185,EleutherAI/pythia-70m-deduped,143000,3,mle,5,10.542043579906942
186,186,EleutherAI/pythia-70m-deduped,143000,4,mle,0,3.455391808242911
187,187,EleutherAI/pythia-70m-deduped,143000,4,mle,1,5.47254418305569
188,188,EleutherAI/pythia-70m-deduped,143000,4,mle,2,7.578626373976839
189,189,EleutherAI/pythia-70m-deduped,143000,4,mle,3,8.578804933063013
190,190,EleutherAI/pythia-70m-deduped,143000,4,mle,4,8.521577417379657
191,191,EleutherAI/pythia-70m-deduped,143000,4,mle,5,7.536142260655643
