,index,model_name,checkpoint_step,n_words_correlated,method,layer_num,id
0,0,EleutherAI/pythia-70m-deduped,16,1,mle,0,29.061254628249266
1,1,EleutherAI/pythia-70m-deduped,16,1,mle,1,30.507243609984595
2,2,EleutherAI/pythia-70m-deduped,16,1,mle,2,30.29177762422905
3,3,EleutherAI/pythia-70m-deduped,16,1,mle,3,29.341738278976102
4,4,EleutherAI/pythia-70m-deduped,16,1,mle,4,28.43311484780384
5,5,EleutherAI/pythia-70m-deduped,16,1,mle,5,27.98118332621646
6,6,EleutherAI/pythia-70m-deduped,16,2,mle,0,18.785350390674605
7,7,EleutherAI/pythia-70m-deduped,16,2,mle,1,19.9292860826183
8,8,EleutherAI/pythia-70m-deduped,16,2,mle,2,19.44076291354844
9,9,EleutherAI/pythia-70m-deduped,16,2,mle,3,18.67438804185218
10,10,EleutherAI/pythia-70m-deduped,16,2,mle,4,17.880882027335108
11,11,EleutherAI/pythia-70m-deduped,16,2,mle,5,17.03986510942053
12,12,EleutherAI/pythia-70m-deduped,16,3,mle,0,15.444587522002992
13,13,EleutherAI/pythia-70m-deduped,16,3,mle,1,15.938050973843405
14,14,EleutherAI/pythia-70m-deduped,16,3,mle,2,14.624447885394611
15,15,EleutherAI/pythia-70m-deduped,16,3,mle,3,13.284421683075339
16,16,EleutherAI/pythia-70m-deduped,16,3,mle,4,12.609999617513997
17,17,EleutherAI/pythia-70m-deduped,16,3,mle,5,11.7393983401573
18,18,EleutherAI/pythia-70m-deduped,16,4,mle,0,13.450723695184355
19,19,EleutherAI/pythia-70m-deduped,16,4,mle,1,16.202210133423186
20,20,EleutherAI/pythia-70m-deduped,16,4,mle,2,15.208888882361109
21,21,EleutherAI/pythia-70m-deduped,16,4,mle,3,13.25443694733018
22,22,EleutherAI/pythia-70m-deduped,16,4,mle,4,12.254986011753651
23,23,EleutherAI/pythia-70m-deduped,16,4,mle,5,11.47614764230542
24,24,EleutherAI/pythia-70m-deduped,512,1,mle,0,22.421077200539525
25,25,EleutherAI/pythia-70m-deduped,512,1,mle,1,26.53332469451035
26,26,EleutherAI/pythia-70m-deduped,512,1,mle,2,25.959203318626045
27,27,EleutherAI/pythia-70m-deduped,512,1,mle,3,26.214349611367304
28,28,EleutherAI/pythia-70m-deduped,512,1,mle,4,26.559798556304504
29,29,EleutherAI/pythia-70m-deduped,512,1,mle,5,26.493936052702047
30,30,EleutherAI/pythia-70m-deduped,512,2,mle,0,14.012349381492518
31,31,EleutherAI/pythia-70m-deduped,512,2,mle,1,16.875582784880155
32,32,EleutherAI/pythia-70m-deduped,512,2,mle,2,15.997001578957956
33,33,EleutherAI/pythia-70m-deduped,512,2,mle,3,16.295521265599668
34,34,EleutherAI/pythia-70m-deduped,512,2,mle,4,16.74737667941045
35,35,EleutherAI/pythia-70m-deduped,512,2,mle,5,17.300009742485777
